[2026-02-25 16:10:12,665] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2026-02-25 16:14:08,948] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,953] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,958] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,963] INFO [Broker id=0] Leader orders-11 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 2111 with partition epoch 0, high watermark 2111, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,963] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,968] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,973] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,977] INFO [Broker id=0] Leader orders-3 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,982] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,986] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,990] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,995] INFO [Broker id=0] Leader orders-10 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 2123 with partition epoch 0, high watermark 2123, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:08,995] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:09,000] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:09,005] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:09,010] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:09,015] INFO [Broker id=0] Leader orders-2 with topic id Some(JYFMy0sJQMuQLEScZ__Q1A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:09,020] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:09,024] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(45SGAz0SQMSbJ2E9Ae6Fgw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2026-02-25 16:14:09,038] INFO [Broker id=0] Finished LeaderAndIsr request in 285ms correlationId 1 from controller 0 for 62 partitions (state.change.logger)
[2026-02-25 16:14:09,041] INFO [Broker id=0] Add 62 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
